retail_type,date_period,turnover_index,average_anual_variation_rate,Year_on_year_rate_of_change,monthly_rate_of_change
"CR: Comércio a retalho, excepto de veículos automóveis e motociclos",Outubro de 2023,142.68,5.6,2.5,0.3
,Setembro de 2023,142.31,6.3,5.2,-5.2
,Agosto de 2023,150.06,6.8,3.2,-0.3
,Julho de 2023,,,,
,Junho de 2023,136.53,8.5,3.2,-2.3
,Maio de 2023,139.78,9.3,4,4.1
,Abril de 2023,134.28,10.1,5.4,-1.4
,Março de 2023,136.25,10.9,5.1,12.9
,Fevereiro de 2023,120.65,12,7.4,-5.8
,Janeiro de 2023,128.1,13,12.1,-22.6
,Dezembro de 2022,165.41,13.3,8.9,18.5
,Novembro de 2022,139.63,13.6,7.3,0.3
,Outubro de 2022,139.24,14.3,11.2,2.9
,Setembro de 2022,135.28,14.1,11.8,-7
,Agosto de 2022,145.39,13.6,13.4,0.4
,Julho de 2022,144.77,13.1,13.6,9.4
,Junho de 2022,132.34,12.4,12.7,-1.5
,Maio de 2022,134.39,12.2,12.6,5.5
,Abril de 2022,127.43,12.7,15.9,-1.7
,Março de 2022,129.63,13.5,18.8,15.3
,Fevereiro de 2022,112.38,12.2,22.6,-1.7
,Janeiro de 2022,114.3,9.4,15.4,-24.7
,Dezembro de 2021,151.86,7.3,11.5,16.7
,Novembro de 2021,130.09,5.6,15.7,3.9
,Outubro de 2021,125.22,3.8,8.2,3.5
,Setembro de 2021,121.04,2.9,6.3,-5.6
,Agosto de 2021,128.25,2.4,6.9,0.6
,Julho de 2021,127.48,1.3,5.9,8.6
,Junho de 2021,117.39,0.5,10.2,-1.7
,Maio de 2021,119.36,-0.9,19.7,8.5
,Abril de 2021,109.96,-3.6,28.5,0.8
,Março de 2021,109.11,-7.1,3.4,19
,Fevereiro de 2021,91.7,-7.7,-14.2,-7.4
,Janeiro de 2021,99.04,-6,-10.5,-27.3
,Dezembro de 2020,136.25,-4.9,-4.2,21.2
,Novembro de 2020,112.39,-4.2,-5.8,-2.9
,Outubro de 2020,115.71,-4.1,-1.6,1.6
,Setembro de 2020,113.86,-3.7,0,-5.1
,Agosto de 2020,119.93,-3.5,-4.7,-0.4
,Julho de 2020,120.36,-2.5,-3.8,13
,Junho de 2020,106.5,-1.9,-6.9,6.8
,Maio de 2020,99.7,-1.2,-14.7,16.5
,Abril de 2020,85.57,0.3,-23.1,-18.9
,Março de 2020,105.51,2.9,-5.1,-1.3
,Fevereiro de 2020,106.93,3.4,8.7,-3.4
,Janeiro de 2020,110.71,3.1,4.8,-22.2
,Dezembro de 2019,142.26,3,2.3,19.2
,Novembro de 2019,119.35,3.1,2.8,1.5
,Outubro de 2019,117.6,3.2,1.6,3.3
,Setembro de 2019,113.86,3.8,1.3,-9.5
,Agosto de 2019,125.83,3.9,2.1,0.6
,Julho de 2019,125.06,4.2,3.2,9.3
,Junho de 2019,114.38,4.3,1.7,-2.2
,Maio de 2019,116.91,4.7,3.6,5.1
,Abril de 2019,111.28,5,8.7,0.1
,Março de 2019,111.2,4.3,1.7,13.1
,Fevereiro de 2019,98.36,4.7,4.1,-6.9
,Janeiro de 2019,105.67,4.8,3.9,-24
CR1: Comércio a retalho excepto combustíveis,Outubro de 2023,143.81,7.5,3.6,-0.1
,Setembro de 2023,144,8.2,6.4,-5.4
,Agosto de 2023,152.3,8.7,5.5,-0.3
,Julho de 2023,,,,
,Junho de 2023,138.77,10,6.6,-2.1
,Maio de 2023,141.79,10.5,7.2,3.9
,Abril de 2023,136.52,10.8,7.5,-0.6
,Março de 2023,137.28,11.5,8.2,13.1
,Fevereiro de 2023,121.37,12.1,9.2,-5.7
,Janeiro de 2023,128.71,12.8,12.8,-25
,Dezembro de 2022,171.69,12.8,9.9,21.7
,Novembro de 2022,141.04,12.9,8.1,1.7
,Outubro de 2022,138.75,13.4,12.1,2.5
,Setembro de 2022,135.3,12.8,12.7,-6.3
,Agosto de 2022,144.37,12.1,13.6,0.2
,Julho de 2022,144.12,11.4,13.4,10.7
,Junho de 2022,130.21,10.7,11.5,-1.6
,Maio de 2022,132.31,10.4,11.3,4.2
,Abril de 2022,127.01,10.8,15.7,0.1
,Março de 2022,126.82,11.2,15.5,14.1
,Fevereiro de 2022,111.14,10.2,19.8,-2.6
,Janeiro de 2022,114.11,7.8,13.6,-27
,Dezembro de 2021,156.29,6.1,10.4,19.8
,Novembro de 2021,130.43,4.8,13.3,5.4
,Outubro de 2021,123.77,3.4,5.3,3.1
,Setembro de 2021,120.04,3,4.5,-5.6
,Agosto de 2021,127.13,2.8,5.6,0.1
,Julho de 2021,127.06,2,4.6,8.8
,Junho de 2021,116.73,1.5,8.1,-1.8
,Maio de 2021,118.84,0.5,16.7,8.2
,Abril de 2021,109.81,-1.7,23.7,0
,Março de 2021,109.76,-4.6,3.1,18.3
,Fevereiro de 2021,92.77,-5.1,-12,-7.6
,Janeiro de 2021,100.45,-3.5,-7.7,-29
,Dezembro de 2020,141.58,-2.6,-2,23
,Novembro de 2020,115.09,-2.2,-3.5,-2.1
,Outubro de 2020,117.58,-2.3,1.1,2.4
,Setembro de 2020,114.88,-2,1.9,-4.5
,Agosto de 2020,120.35,-1.9,-2.9,-0.9
,Julho de 2020,121.48,-1,-1.5,12.5
,Junho de 2020,107.97,-0.6,-4.1,6
,Maio de 2020,101.83,-0.1,-11.2,14.7
,Abril de 2020,88.79,1.2,-18.4,-16.6
,Março de 2020,106.46,3.3,-2.9,1
,Fevereiro de 2020,105.41,3.6,9,-3.1
,Janeiro de 2020,108.83,3.3,4.7,-24.7
,Dezembro de 2019,144.46,3.3,2.3,21.2
,Novembro de 2019,119.24,3.4,3.5,2.6
,Outubro de 2019,116.25,3.5,2.3,3.1
,Setembro de 2019,112.7,3.9,2.4,-9.1
,Agosto de 2019,123.98,3.8,2.6,0.6
,Julho de 2019,123.29,4,3.2,9.5
,Junho de 2019,112.63,4,1.7,-1.8
,Maio de 2019,114.64,4.3,3.8,5.4
,Abril de 2019,108.76,4.6,8.4,-0.8
,Março de 2019,109.69,3.9,1.5,13.4
,Fevereiro de 2019,96.71,4.4,4.6,-6.9
,Janeiro de 2019,103.91,4.3,4.1,-26.4
"CR2: Comércio a retalho de produtos alimentares, bebidas e tabaco",Outubro de 2023,152.86,10,5.4,-1.4
,Setembro de 2023,154.96,10.6,11.1,-9.1
,Agosto de 2023,170.51,10.7,9.9,4.9
,Julho de 2023,,,,
,Junho de 2023,144.44,11.6,7.6,-2.4
,Maio de 2023,148.03,11.9,9.5,0.4
,Abril de 2023,147.39,12.1,10.6,2.6
,Março de 2023,143.61,12.3,10.3,12.6
,Fevereiro de 2023,127.58,12,13.7,-4
,Janeiro de 2023,132.92,11.4,13.7,-23.6
,Dezembro de 2022,174.04,10.7,11.2,24.1
,Novembro de 2022,140.23,10.6,10.8,-3.3
,Outubro de 2022,145.04,10.5,12.6,4
,Setembro de 2022,139.48,10,12.6,-10.1
,Agosto de 2022,155.1,9.4,12.9,2.4
,Julho de 2022,151.52,8.7,14.3,12.9
,Junho de 2022,134.21,7.9,11.6,-0.7
,Maio de 2022,135.14,7.6,11.8,1.4
,Abril de 2022,133.28,6.9,12.8,2.3
,Março de 2022,130.23,6.6,5.7,16.1
,Fevereiro de 2022,112.18,6.3,5.6,-4
,Janeiro de 2022,116.86,5.7,5.1,-25.3
,Dezembro de 2021,156.53,5.5,9.8,23.7
,Novembro de 2021,126.56,4.8,9.7,-1.8
,Outubro de 2021,128.85,4.1,6.2,4.1
,Setembro de 2021,123.82,3.9,5.1,-9.8
,Agosto de 2021,137.34,3.6,5.5,3.6
,Julho de 2021,132.6,2.9,6,10.3
,Junho de 2021,120.26,2.4,7,-0.5
,Maio de 2021,120.92,1.6,3.2,2.3
,Abril de 2021,118.17,1.4,10.6,-4.1
,Março de 2021,123.25,0.3,1.3,16
,Fevereiro de 2021,106.27,0.8,-1.8,-4.4
,Janeiro de 2021,111.16,1.7,2.5,-22
,Dezembro de 2020,142.56,2,2.7,23.6
