,start_date,end_date,retail_type_code,retail_type_description_original,retail_type_description_en,turnover_index,average_anual_variation_rate,year_on_year_rate_of_change,monthly_rate_of_change
0,2023-10-01,2023-10-31,CR,"Comércio a retalho, excepto de veículos automóveis e motociclos","Retail trade, except car vehicles and motorcycles",142.68,5.6,2.5,0.3
1,2023-09-01,2023-09-30,CR,"Comércio a retalho, excepto de veículos automóveis e motociclos","Retail trade, except car vehicles and motorcycles",142.31,6.3,5.2,-5.2
2,2023-08-01,2023-08-31,CR,"Comércio a retalho, excepto de veículos automóveis e motociclos","Retail trade, except car vehicles and motorcycles",150.06,6.8,3.2,-0.3
3,2023-07-01,2023-07-31,CR,"Comércio a retalho, excepto de veículos automóveis e motociclos","Retail trade, except car vehicles and motorcycles",,,,
4,2023-06-01,2023-06-30,CR,"Comércio a retalho, excepto de veículos automóveis e motociclos","Retail trade, except car vehicles and motorcycles",136.53,8.5,3.2,-2.3
5,2023-05-01,2023-05-31,CR,"Comércio a retalho, excepto de veículos automóveis e motociclos","Retail trade, except car vehicles and motorcycles",139.78,9.3,4.0,4.1
6,2023-04-01,2023-04-30,CR,"Comércio a retalho, excepto de veículos automóveis e motociclos","Retail trade, except car vehicles and motorcycles",134.28,10.1,5.4,-1.4
7,2023-03-01,2023-03-31,CR,"Comércio a retalho, excepto de veículos automóveis e motociclos","Retail trade, except car vehicles and motorcycles",136.25,10.9,5.1,12.9
8,2023-02-01,2023-02-28,CR,"Comércio a retalho, excepto de veículos automóveis e motociclos","Retail trade, except car vehicles and motorcycles",120.65,12.0,7.4,-5.8
9,2023-01-01,2023-01-31,CR,"Comércio a retalho, excepto de veículos automóveis e motociclos","Retail trade, except car vehicles and motorcycles",128.1,13.0,12.1,-22.6
10,2022-12-01,2022-12-31,CR,"Comércio a retalho, excepto de veículos automóveis e motociclos","Retail trade, except car vehicles and motorcycles",165.41,13.3,8.9,18.5
11,2022-11-01,2022-11-30,CR,"Comércio a retalho, excepto de veículos automóveis e motociclos","Retail trade, except car vehicles and motorcycles",139.63,13.6,7.3,0.3
12,2022-10-01,2022-10-31,CR,"Comércio a retalho, excepto de veículos automóveis e motociclos","Retail trade, except car vehicles and motorcycles",139.24,14.3,11.2,2.9
13,2022-09-01,2022-09-30,CR,"Comércio a retalho, excepto de veículos automóveis e motociclos","Retail trade, except car vehicles and motorcycles",135.28,14.1,11.8,-7.0
14,2022-08-01,2022-08-31,CR,"Comércio a retalho, excepto de veículos automóveis e motociclos","Retail trade, except car vehicles and motorcycles",145.39,13.6,13.4,0.4
15,2022-07-01,2022-07-31,CR,"Comércio a retalho, excepto de veículos automóveis e motociclos","Retail trade, except car vehicles and motorcycles",144.77,13.1,13.6,9.4
